CustomerID,Amount,purchased_units,avg_spend,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17,Category_18,Sex,Age,Profession,CityType,YearsInCity,HaveChildren
1000043,137548,13,10580.62,2,1,2,1,7,0,0,5,0,0,0,1,0,2,0,2,1,0,M,26-35,12,A,0,0.0
1000044,1180380,120,9836.5,36,39,12,20,44,3,0,25,7,1,16,7,8,18,22,14,3,0,M,46-50,17,B,3,1.0
1000045,928494,162,5731.44,6,9,4,11,124,2,0,47,3,0,3,5,3,84,3,4,6,2,F,46-50,16,A,1,1.0
1000046,138367,20,6918.35,3,2,0,0,3,0,0,2,1,0,14,0,0,0,0,4,0,0,M,18-25,19,C,4+,0.0
1000047,131303,14,9378.79,2,1,0,0,2,3,0,12,0,0,0,0,0,3,0,3,1,0,M,18-25,4,C,4+,1.0
1000048,2787911,337,8272.73,109,59,20,50,131,17,1,80,14,2,16,17,13,47,55,47,25,13,M,26-35,4,B,3,1.0
1000049,731991,59,12406.63,30,10,16,11,9,6,1,13,1,0,2,5,0,3,11,13,5,0,M,18-25,12,C,4+,1.0
1000050,198798,24,8283.25,5,4,1,1,7,0,0,10,0,0,1,1,2,3,3,6,0,0,F,26-35,2,A,1,1.0
1000051,200772,25,8030.88,1,0,2,2,17,1,0,8,0,1,1,0,1,5,2,5,0,0,F,0-17,10,C,2,0.0
1000052,523039,42,12453.31,34,9,0,0,11,3,0,11,1,0,2,0,0,5,5,12,5,1,M,18-25,4,C,0,0.0
1000053,4270371,377,11327.24,88,53,17,30,90,40,0,161,19,7,43,21,15,51,72,66,21,5,M,26-35,0,B,1,0.0
1000054,187201,23,8139.17,2,1,0,1,19,1,0,6,1,0,0,1,0,1,1,0,0,3,M,51-55,1,C,4+,1.0
1000055,134073,13,10313.31,1,0,2,2,2,1,1,8,0,0,0,0,0,2,1,3,2,0,F,36-45,12,B,1,0.0
1000056,382860,37,10347.57,5,0,4,4,13,7,0,17,0,0,0,1,0,4,1,12,5,0,M,36-45,20,C,0,1.0
1000057,312571,42,7442.17,10,6,4,5,17,2,0,14,0,0,3,1,1,1,3,4,3,0,M,18-25,19,C,2,0.0
1000058,2896341,260,11139.77,94,47,9,14,68,15,0,81,8,4,24,8,10,22,81,41,16,4,M,26-35,2,B,3,0.0
1000059,980068,127,7717.07,11,7,2,4,29,7,1,68,1,6,6,17,7,32,8,10,16,1,F,51-55,1,B,4+,1.0
1000060,279980,35,7999.43,10,14,2,4,14,3,0,3,3,1,1,0,9,3,3,7,1,1,M,51-55,1,C,1,1.0
1000061,156299,19,8226.26,10,4,0,1,7,2,0,3,1,0,1,0,0,2,3,4,0,0,M,26-35,17,C,1,0.0
1000062,2513136,281,8943.54,51,29,3,3,81,22,1,135,3,8,6,9,15,62,29,47,15,7,F,36-45,3,A,1,0.0
1000063,553760,63,8789.84,11,2,4,4,30,3,0,21,0,1,7,0,1,4,8,12,4,0,M,18-25,4,C,2,0.0
1000064,210948,15,14063.2,10,8,0,0,3,0,0,3,0,0,2,1,0,1,1,4,2,0,M,18-25,1,A,1,1.0
1000065,892190,66,13518.03,36,18,1,3,19,6,0,21,2,0,0,3,2,6,11,15,6,0,M,36-45,12,C,2,1.0
1000066,224910,20,11245.5,7,4,1,2,7,0,0,9,0,0,0,2,0,1,2,2,6,0,M,26-35,18,C,2,0.0
1000067,352342,36,9787.28,2,1,0,0,9,5,0,30,0,0,2,0,0,6,0,3,3,1,F,51-55,5,C,4+,1.0
1000068,328177,42,7813.74,3,2,3,4,31,2,0,15,1,0,2,2,0,6,2,3,1,3,M,18-25,4,A,0,0.0
1000069,315430,35,9012.29,3,2,0,0,7,1,0,34,0,0,0,0,0,4,1,4,5,1,F,26-35,1,A,1,0.0
1000070,213755,25,8550.2,4,2,1,3,10,1,0,5,1,1,2,1,2,2,2,5,1,0,M,18-25,4,A,2,0.0
1000071,157105,16,9819.06,4,4,0,0,7,1,0,4,0,0,1,1,1,0,1,3,1,0,M,26-35,14,A,0,1.0
1000072,227919,26,8766.12,4,2,0,0,19,1,0,13,0,0,0,0,0,7,0,4,1,1,F,46-50,0,B,1,1.0
1000073,1428265,133,10738.83,80,39,7,10,46,10,0,14,5,0,8,3,4,8,35,26,6,3,M,18-25,4,A,4+,0.0
1000074,326261,28,11652.18,2,0,0,0,6,11,0,17,0,4,0,2,10,3,0,6,1,0,M,36-45,14,A,2,1.0
1000075,1035228,110,9411.16,13,29,42,83,52,0,0,10,10,0,0,12,1,3,7,2,1,1,F,0-17,10,C,4+,0.0
1000076,597730,51,11720.2,17,1,5,2,15,8,0,22,0,1,0,0,3,5,4,13,1,0,M,36-45,7,B,2,1.0
1000077,147366,21,7017.43,1,1,2,1,9,0,0,9,0,0,1,0,0,2,0,2,0,0,M,18-25,4,C,2,0.0
1000078,582306,85,6850.66,0,6,13,17,65,1,0,23,2,0,0,16,0,15,3,1,3,0,F,46-50,1,C,0,1.0
1000079,124477,16,7779.81,1,0,1,1,3,2,0,9,0,1,2,0,8,2,1,4,0,0,F,46-50,0,A,1,0.0
1000080,339119,31,10939.32,10,5,7,9,7,2,0,15,1,0,0,4,0,4,3,3,4,1,M,55+,1,C,3,1.0
1000081,624777,51,12250.53,12,6,1,0,15,8,0,19,0,7,4,1,4,2,4,6,5,2,F,26-35,0,A,1,1.0
1000082,645708,59,10944.2,22,7,0,0,12,4,0,25,0,0,2,0,8,8,14,28,4,2,M,26-35,17,C,2,1.0
1000083,529819,52,10188.83,15,15,4,4,17,2,0,15,14,2,3,1,2,6,4,3,0,0,F,26-35,2,C,1,0.0
1000084,277125,22,12596.59,14,7,0,0,5,2,0,6,1,0,1,0,0,3,7,4,4,0,M,18-25,4,C,1,0.0
1000085,148849,19,7834.16,5,1,1,1,6,0,0,6,0,0,2,1,1,1,3,4,1,0,M,18-25,4,C,1,0.0
1000086,294050,23,12784.78,8,12,0,4,6,0,0,2,4,1,2,2,1,5,2,3,0,0,F,0-17,10,C,3,0.0
1000087,407327,37,11008.84,32,6,1,1,5,5,1,8,1,0,1,1,0,3,5,8,3,1,M,26-35,14,C,2,0.0
1000088,329348,33,9980.24,3,2,0,0,10,3,0,21,0,3,1,0,1,4,2,3,2,0,F,46-50,1,C,1,1.0
1000089,112226,13,8632.77,4,0,0,0,6,0,0,6,0,0,0,0,0,1,0,1,2,0,F,55+,9,C,1,1.0
1000090,1310621,137,9566.58,37,15,1,6,53,16,0,46,2,3,5,0,12,12,10,37,3,0,M,55+,13,C,1,0.0
1000091,210912,23,9170.09,2,1,0,0,20,1,0,6,1,0,1,0,1,5,0,1,2,0,M,36-45,7,C,3,1.0
1000092,1573914,223,7057.91,52,49,37,64,71,5,0,53,18,0,14,30,8,34,22,32,8,1,F,18-25,4,B,1,0.0
1000093,1275628,114,11189.72,95,38,11,11,13,5,0,12,9,1,6,2,1,10,31,32,4,3,M,26-35,17,B,1,1.0
1000094,49288,7,7041.14,1,1,1,2,3,0,0,0,0,0,4,1,0,0,0,1,0,0,M,26-35,17,C,1,0.0
1000095,580281,55,10550.56,20,8,0,0,21,6,0,22,0,1,1,1,1,7,7,11,5,0,M,46-50,0,C,4+,1.0
1000096,444238,43,10331.12,13,5,1,3,10,4,0,25,1,1,0,0,1,5,2,9,5,2,F,26-35,16,C,2,1.0
1000097,866904,82,10572.0,6,5,3,3,18,7,0,32,0,9,6,9,9,13,4,13,11,3,F,36-45,3,C,3,0.0
1000098,154510,13,11885.38,5,3,0,0,4,1,0,6,0,0,0,0,1,3,1,0,4,0,F,36-45,7,C,2,1.0
1000099,506413,64,7912.7,9,3,5,8,28,6,0,28,2,0,2,2,1,6,2,10,2,1,F,0-17,10,C,1,0.0
1000100,461932,41,11266.63,34,20,0,0,6,6,0,12,2,0,2,0,2,4,9,6,2,0,M,36-45,17,C,4+,0.0
1000101,1138239,65,17511.37,60,25,0,5,13,2,0,13,4,0,2,0,1,3,17,14,2,1,F,18-25,3,A,1,0.0
1000102,640264,86,7444.93,12,3,4,4,28,8,0,35,1,3,2,1,5,19,10,18,2,2,M,36-45,19,C,3,0.0
1000103,1016811,65,15643.25,56,18,3,5,7,4,0,12,1,0,0,3,3,5,24,21,4,0,M,46-50,7,B,2,1.0
1000104,215030,28,7679.64,3,1,1,1,11,2,0,11,0,1,3,0,0,2,1,6,1,0,M,26-35,12,C,3,1.0
1000105,636089,40,15902.22,36,8,0,0,5,5,0,13,1,0,3,1,0,5,7,6,6,2,M,46-50,12,C,1,1.0
1000106,249376,30,8312.53,4,1,2,3,13,0,0,13,1,0,0,3,1,25,0,5,3,0,F,36-45,11,C,4+,0.0
1000107,578478,64,9038.72,5,2,2,3,11,5,0,29,1,6,3,6,3,9,2,10,8,3,M,46-50,18,C,4+,0.0
1000108,120872,14,8633.71,3,2,1,0,7,0,0,2,0,0,3,1,0,1,1,2,1,0,M,26-35,12,C,3,0.0
1000109,468318,43,10891.12,12,15,4,11,20,1,0,5,4,1,0,7,1,4,11,2,4,1,M,46-50,15,C,1,1.0
1000110,435574,40,10889.35,15,3,0,0,10,23,0,11,1,1,3,0,5,3,3,7,0,0,M,26-35,2,B,4+,0.0
1000111,520893,54,9646.17,9,2,2,1,21,5,2,21,1,1,0,0,2,15,0,13,1,1,M,36-45,15,C,3,0.0
1000112,413216,29,14248.83,1,3,20,14,8,4,0,2,0,10,0,4,4,0,1,3,0,0,M,26-35,16,C,3,1.0
1000113,360020,35,10286.29,14,4,0,0,7,2,1,8,0,0,5,0,1,2,12,9,1,0,M,18-25,12,C,2,0.0
1000114,417983,51,8195.75,0,9,21,35,21,0,0,12,5,0,0,7,0,3,1,1,0,1,F,26-35,2,C,0,0.0
1000116,590875,55,10743.18,20,10,1,2,11,6,0,20,9,0,6,0,2,3,7,11,5,1,M,26-35,17,C,2,1.0
1000117,2742049,282,9723.58,108,63,28,34,62,12,0,45,16,2,64,19,6,16,77,42,11,5,M,26-35,17,A,2,1.0
1000118,1301582,118,11030.36,58,40,1,1,50,5,0,27,7,1,3,0,2,24,25,17,12,1,M,36-45,17,C,4+,0.0
1000119,420788,56,7514.07,4,9,17,33,31,0,0,3,3,1,3,5,1,5,3,2,0,2,F,0-17,10,C,1,0.0
1000120,343809,32,10744.03,10,3,1,1,5,8,0,17,0,0,1,1,2,0,1,8,3,0,M,26-35,11,C,0,0.0
1000121,586434,41,14303.27,23,18,2,1,10,2,0,4,3,0,6,0,0,2,24,3,1,0,M,36-45,7,C,2,0.0
1000122,271183,26,10430.12,24,9,1,0,5,4,0,7,1,0,0,1,0,3,4,5,0,0,F,18-25,4,C,1,0.0
1000123,3237092,352,9196.28,85,39,4,12,104,38,0,156,2,10,18,3,14,45,22,74,17,16,M,36-45,9,B,4+,1.0
1000124,135960,14,9711.43,1,0,0,0,2,0,0,10,0,0,0,0,0,2,0,5,2,0,M,55+,7,C,1,1.0
1000125,504628,36,14017.44,26,7,0,0,5,4,0,8,1,0,2,0,1,3,6,11,5,1,M,46-50,14,B,3,1.0
1000126,333598,29,11503.38,9,1,0,0,9,3,0,16,0,2,0,1,1,16,1,3,1,0,M,18-25,9,B,1,0.0
1000127,1171261,100,11712.61,38,23,1,4,18,8,1,40,2,2,6,0,5,15,21,28,14,2,F,46-50,3,C,1,1.0
1000128,139365,12,11613.75,2,2,2,2,4,0,0,4,0,0,1,3,0,2,1,1,2,0,M,55+,6,A,1,1.0
1000129,1253576,84,14923.52,42,15,0,0,20,32,0,28,1,6,2,1,6,7,11,17,0,2,M,26-35,11,C,2,0.0
1000130,1274511,79,16133.05,66,19,2,1,9,10,0,15,1,0,3,1,1,5,19,18,9,1,M,36-45,17,B,3,1.0
1000131,1271630,152,8365.99,16,12,8,6,51,12,6,69,3,4,9,7,2,20,12,23,7,1,M,18-25,4,C,4+,0.0
1000132,345438,45,7676.4,4,5,2,5,44,2,0,8,3,0,2,2,1,6,1,0,0,1,M,26-35,17,C,1,0.0
1000133,801838,92,8715.63,9,5,1,4,29,6,0,47,3,0,7,2,2,23,4,16,5,1,F,26-35,0,C,1,1.0
1000134,877030,101,8683.47,70,31,4,6,31,9,0,18,3,0,3,2,1,10,29,23,1,2,M,26-35,0,C,3,1.0
1000135,360612,38,9489.79,8,6,3,2,19,2,0,8,0,2,3,1,2,6,5,7,0,0,M,18-25,4,C,1,1.0
1000136,1562462,227,6883.09,25,22,14,28,98,9,7,75,11,4,17,19,10,33,28,23,7,3,M,18-25,2,B,3,0.0
1000137,1273401,124,10269.36,39,22,3,3,33,15,0,44,3,2,10,5,9,32,20,25,9,2,F,46-50,6,C,4+,1.0
1000138,593019,36,16472.75,8,2,2,1,5,25,0,18,1,7,1,0,2,3,1,9,0,0,M,18-25,20,C,1,1.0
1000139,1500089,136,11030.07,35,27,17,21,41,5,8,29,7,4,22,11,3,5,26,8,7,2,F,26-35,20,C,2,0.0
1000140,328944,32,10279.5,7,5,1,1,10,4,1,9,1,4,1,1,5,7,1,4,1,0,F,36-45,1,B,3,0.0
1000141,115058,13,8850.62,3,2,1,1,3,1,0,4,0,1,0,0,3,2,3,1,0,0,M,36-45,13,C,1,1.0
1000142,301086,33,9123.82,6,5,6,7,11,2,1,13,2,0,0,4,0,4,2,2,1,1,M,26-35,7,A,2,0.0
1000143,375606,36,10433.5,19,8,2,1,15,0,0,13,0,0,0,0,1,8,2,9,5,0,M,18-25,3,C,0,0.0
1000144,234047,22,10638.5,8,1,1,2,4,4,1,8,0,0,1,0,2,2,4,6,3,0,M,26-35,17,C,1,
1000145,195522,29,6742.14,3,3,1,3,11,2,0,14,1,0,1,1,2,2,5,2,0,0,M,18-25,4,C,4+,0.0
1000146,2257255,238,9484.26,42,29,15,22,74,20,0,94,10,12,11,23,12,50,19,24,6,2,F,36-45,20,B,3,1.0
1000147,1094887,95,11525.13,55,21,1,3,16,12,0,37,4,0,2,1,4,20,12,23,9,2,M,18-25,4,B,4+,0.0
1000148,3617268,338,10701.98,146,76,10,36,91,18,1,100,19,2,15,10,9,47,62,53,27,10,M,51-55,17,B,3,1.0
1000149,3774602,333,11335.14,115,33,3,5,91,53,14,132,5,3,10,5,10,44,34,75,18,0,M,26-35,1,B,2,1.0
1000150,1225932,134,9148.75,16,12,2,4,46,7,3,72,6,4,7,1,7,19,4,10,10,3,M,36-45,7,B,0,1.0
1000151,2560797,283,9048.75,61,36,3,14,141,17,0,96,12,1,9,9,4,102,54,32,9,1,F,26-35,20,A,1,1.0
1000152,128655,17,7567.94,0,0,2,2,15,1,0,6,0,0,2,0,0,2,0,1,0,0,M,18-25,4,A,3,0.0
1000153,124933,14,8923.79,0,1,1,2,7,1,0,3,0,0,2,0,0,1,1,3,0,0,M,0-17,10,C,0,0.0
1000154,281332,34,8274.47,8,4,2,2,13,3,0,11,0,1,5,1,0,2,3,6,0,0,M,51-55,20,A,4+,1.0
1000155,360224,53,6796.68,6,7,0,4,38,2,0,19,0,0,0,1,1,6,5,2,5,1,M,36-45,12,C,4+,1.0
1000156,689059,76,9066.57,6,3,1,2,35,3,0,32,0,1,1,1,8,41,1,11,7,0,F,46-50,7,C,4+,1.0
1000157,2228762,217,10270.79,68,43,8,9,92,12,1,72,4,7,5,6,6,24,40,28,13,4,M,36-45,16,A,1,0.0
1000158,184952,14,13210.86,2,2,1,1,3,1,0,4,0,4,1,1,1,1,0,3,2,0,M,55+,7,C,2,1.0
1000159,224103,23,9743.61,6,3,3,2,12,0,0,5,0,1,2,0,0,5,1,4,1,0,F,46-50,0,A,1,1.0
1000160,84567,9,9396.33,2,1,0,1,0,1,0,5,1,0,2,0,0,0,2,3,0,0,M,36-45,7,C,3,0.0
1000161,1884662,184,10242.73,15,9,4,5,48,12,10,112,2,2,4,3,7,32,11,15,13,3,M,46-50,16,C,4+,1.0
1000162,686358,55,12479.24,25,11,7,6,20,5,0,11,0,0,3,3,1,6,6,12,2,0,F,18-25,4,C,4+,0.0
1000163,1633731,271,6028.53,96,33,10,14,80,27,0,81,8,2,39,4,5,52,30,53,7,4,M,18-25,4,A,1,0.0
1000164,155793,18,8655.17,1,1,1,2,6,0,0,8,2,0,0,1,1,6,0,0,4,1,F,55+,13,C,1,0.0
1000165,602989,57,10578.75,16,10,0,2,19,5,1,15,3,1,6,1,5,1,16,11,2,1,M,18-25,16,A,1,0.0
1000166,2073133,216,9597.84,49,38,7,16,57,14,4,72,10,2,21,3,12,27,35,47,12,1,M,18-25,4,B,1,1.0
1000167,186597,28,6664.18,6,4,1,1,11,2,0,14,0,0,1,0,0,9,1,2,2,1,F,26-35,11,B,4+,0.0
1000168,134217,13,10324.38,5,4,1,1,6,0,0,4,1,0,0,2,0,0,1,1,1,0,F,51-55,0,C,0,1.0
1000169,2850480,312,9136.15,83,33,10,21,117,24,6,114,8,6,11,12,10,36,38,41,25,7,M,26-35,7,B,3,0.0
1000170,537275,42,12792.26,20,6,0,1,4,5,0,17,2,1,5,0,1,1,10,9,7,1,M,26-35,11,C,1,1.0
1000171,208924,15,13928.27,1,1,0,1,3,3,6,5,0,3,0,0,2,0,0,0,2,0,F,51-55,17,B,1,1.0
1000172,213016,15,14201.07,0,1,1,0,2,1,3,2,0,9,0,0,3,1,1,5,0,0,M,26-35,3,C,2,0.0
1000173,3204589,314,10205.7,55,32,10,9,64,29,13,152,4,11,14,9,18,31,30,58,20,8,M,26-35,0,B,1,1.0
1000174,762896,55,13870.84,50,15,0,1,4,4,0,13,1,0,2,1,1,7,13,10,7,2,M,26-35,16,C,2,0.0
1000175,1458898,170,8581.75,13,14,7,15,63,10,1,95,3,2,10,14,7,28,9,13,7,0,F,26-35,2,B,1,0.0
1000176,319661,39,8196.44,6,8,1,1,37,0,0,4,1,1,2,2,0,4,4,0,0,0,F,18-25,3,C,1,0.0
1000177,389564,30,12985.47,14,12,0,1,3,0,1,10,2,1,1,0,2,4,15,6,0,1,M,51-55,1,B,3,1.0
1000178,540534,66,8189.91,11,16,11,13,22,1,0,15,5,1,0,20,1,14,5,0,3,3,M,55+,17,A,2,1.0
1000179,486738,66,7374.82,21,18,1,1,14,4,0,31,3,0,4,2,0,6,35,6,3,1,M,26-35,0,A,1,0.0
1000180,258215,30,8607.17,1,1,1,2,10,3,1,22,0,1,1,0,1,2,0,5,1,0,M,46-50,12,C,4+,0.0
1000181,1788665,169,10583.82,68,27,4,7,79,23,1,50,4,2,8,3,3,13,17,24,9,4,M,18-25,17,C,1,0.0
1000182,490892,54,9090.59,10,2,2,3,37,8,0,17,1,0,0,0,1,8,2,5,4,0,M,18-25,4,C,0,0.0
1000183,660777,64,10324.64,10,2,1,2,22,5,0,24,1,9,4,2,6,7,9,14,4,0,F,46-50,1,B,1,1.0
1000184,572923,52,11017.75,12,7,17,24,17,4,0,11,2,1,0,7,2,4,3,3,1,1,F,26-35,0,C,4+,1.0
1000185,435266,31,14040.84,29,11,0,0,6,1,0,5,0,0,2,0,0,2,6,10,4,0,M,46-50,0,C,0,0.0
1000186,652330,58,11247.07,15,6,20,19,19,1,1,10,3,1,5,4,0,2,9,6,2,1,M,18-25,5,C,0,0.0
1000187,2252669,243,9270.24,19,6,4,8,66,20,8,178,0,1,3,6,5,47,6,19,5,2,F,46-50,1,B,1,0.0
1000188,402149,41,9808.51,17,3,0,0,8,3,0,12,0,1,4,0,2,2,9,10,3,0,M,55+,16,C,2,0.0
1000189,209947,19,11049.84,6,2,0,0,4,0,0,10,1,0,1,0,0,3,0,5,5,1,M,18-25,0,B,2,0.0
1000190,778557,80,9731.96,16,8,5,6,30,11,0,29,2,3,12,8,2,4,5,13,4,1,M,26-35,17,A,1,0.0
1000191,117323,16,7332.69,2,0,0,0,11,1,0,4,1,0,0,0,1,0,0,1,0,0,M,18-25,4,C,1,1.0
1000192,2405964,284,8471.7,118,47,9,19,84,18,0,94,8,2,10,6,7,38,45,59,11,6,M,18-25,1,B,2,0.0
1000193,1192284,136,8766.79,15,15,7,5,54,9,1,59,2,6,4,8,9,20,10,16,9,0,F,46-50,15,C,1,1.0
1000194,261915,35,7483.29,5,3,1,6,30,1,0,6,2,0,0,0,0,8,1,1,2,1,F,0-17,10,C,3,0.0
1000195,4532014,466,9725.35,106,73,20,39,148,31,5,173,16,6,43,11,22,37,81,64,22,3,M,26-35,12,B,4+,1.0
1000196,227342,19,11965.37,1,0,1,1,8,7,0,8,0,2,0,0,2,1,0,6,0,0,F,36-45,9,C,4+,0.0
1000197,143289,16,8955.56,3,3,0,0,6,0,0,11,0,0,0,0,0,2,2,1,1,0,M,18-25,14,A,3,
1000198,2114695,207,10215.92,84,46,13,27,90,17,1,46,10,1,8,6,8,15,34,26,11,5,M,26-35,12,A,0,1.0
1000199,1824863,206,8858.56,76,29,1,8,54,9,0,101,7,1,8,4,3,50,33,32,16,1,M,18-25,4,B,1,0.0
1000200,129684,14,9263.14,3,3,2,3,9,0,0,1,0,0,0,0,0,1,2,1,0,0,F,18-25,4,C,0,0.0
1000201,465389,51,9125.27,4,3,0,0,26,1,2,32,0,0,0,0,0,11,0,5,3,0,F,36-45,2,A,1,0.0
1000202,3195955,379,8432.6,111,38,15,27,160,30,0,115,7,2,42,14,12,57,36,61,20,6,M,18-25,4,A,3,0.0
1000203,389087,65,5985.95,6,1,0,2,11,10,0,61,0,0,2,0,1,14,1,3,5,0,F,18-25,4,B,1,1.0
1000204,2424484,246,9855.63,85,55,15,33,70,17,0,87,10,2,11,6,6,32,43,40,11,10,M,26-35,7,B,1,1.0
1000205,923914,84,10998.98,20,13,2,2,41,9,2,21,1,3,2,4,6,7,10,16,7,4,M,36-45,12,A,1,0.0
1000206,152341,15,10156.07,6,3,0,0,3,0,0,4,0,0,3,0,1,2,9,1,0,0,M,26-35,17,C,1,0.0
1000207,113722,13,8747.85,2,3,1,2,6,0,0,1,1,0,3,0,0,2,1,2,0,0,M,26-35,12,B,1,1.0
1000208,1110185,108,10279.49,30,16,1,3,22,7,2,38,2,5,18,1,8,16,18,29,8,4,M,36-45,17,C,1,1.0
1000209,86732,13,6671.69,2,1,0,0,8,0,0,3,0,0,0,0,0,2,2,1,1,0,M,36-45,1,B,4+,0.0
